edad,AniosDireccion,Gastocoche,Aniosempleo,Aniosresiden,ingres,ingres_pred,segmento
55.0,12.0,36.2,23.0,4.0,72.0,72.53390695318026,Alto
56.0,29.0,65.1,29.0,1.0,130.0,130.06232907921813,Muy Alto
28.0,9.0,13.7,4.0,3.0,28.0,27.533878824035096,Bajo
24.0,4.0,12.5,0.0,3.0,26.0,25.143371585564072,Muy Bajo
25.0,2.0,11.3,5.0,2.0,23.0,22.739707650544066,Muy Bajo
45.0,9.0,37.2,13.0,2.0,76.0,74.44805150563965,Alto
42.0,19.0,19.8,10.0,1.0,40.0,39.653478914373856,Medio
35.0,15.0,28.2,1.0,1.0,57.0,56.399054710008315,Alto
46.0,26.0,12.2,11.0,2.0,24.0,24.500389373315617,Muy Bajo
34.0,0.0,46.1,12.0,5.0,89.0,92.29542104214022,Alto
55.0,17.0,35.5,2.0,2.0,72.0,71.03067828109823,Alto
28.0,3.0,11.8,4.0,1.0,24.0,23.711561248812085,Muy Bajo
31.0,9.0,21.3,0.0,4.0,40.0,42.72550880449137,Medio
42.0,8.0,65.1,3.0,1.0,130.0,130.0701526082316,Muy Alto
35.0,8.0,34.1,9.0,3.0,70.0,68.264829253274,Alto
52.0,24.0,65.1,16.0,2.0,130.0,130.07909117422946,Muy Alto
21.0,1.0,18.6,0.0,5.0,37.0,37.373502157731984,Medio
32.0,0.0,13.7,2.0,2.0,28.0,27.547064896343073,Bajo
42.0,9.0,54.7,20.0,1.0,109.0,109.34235465540212,Muy Alto
40.0,12.0,58.3,19.0,4.0,117.0,116.58916534947394,Muy Alto
30.0,3.0,11.8,3.0,1.0,23.0,23.71449566904263,Muy Bajo
48.0,14.0,9.5,2.0,1.0,21.0,19.122290777996675,Muy Bajo
39.0,17.0,8.5,2.0,5.0,17.0,17.20380164232201,Muy Bajo
42.0,5.0,16.6,13.0,4.0,34.0,33.40838122567609,Bajo
45.0,12.0,57.4,27.0,5.0,115.0,114.84446014384591,Muy Alto
51.0,10.0,23.0,9.0,3.0,47.0,46.14579863716569,Medio
39.0,9.0,16.3,1.0,4.0,33.0,32.76879601606404,Bajo
49.0,29.0,65.1,14.0,1.0,130.0,130.02288537636292,Muy Alto
52.0,20.0,65.1,29.0,1.0,130.0,130.08776489392244,Muy Alto
53.0,29.0,19.9,9.0,2.0,41.0,39.8650951636753,Medio
34.0,10.0,10.0,0.0,1.0,20.0,20.1005058628189,Muy Bajo
47.0,6.0,11.4,7.0,2.0,22.0,22.976698187691483,Muy Bajo
58.0,2.0,29.7,1.0,1.0,60.0,59.49360920748956,Alto
25.0,0.0,28.4,4.0,5.0,58.0,56.94627815945099,Alto
57.0,28.0,45.5,25.0,4.0,92.0,91.03629591566963,Alto
30.0,7.0,10.5,4.0,2.0,21.0,21.134051856887098,Muy Bajo
21.0,0.0,6.3,0.0,2.0,13.0,12.75412261165296,Muy Bajo
24.0,5.0,11.8,2.0,1.0,24.0,23.691727234038375,Muy Bajo
56.0,7.0,65.1,29.0,1.0,130.0,130.1465610123259,Muy Alto
24.0,2.0,9.6,0.0,1.0,19.0,19.310472088080402,Muy Bajo
41.0,13.0,28.6,17.0,1.0,59.0,57.24358392707643,Alto
57.0,30.0,65.1,29.0,3.0,130.0,130.11503860331754,Muy Alto
32.0,2.0,15.7,10.0,5.0,32.0,31.623980808967183,Bajo
24.0,5.0,17.4,0.0,1.0,35.0,34.862068712973276,Bajo
49.0,12.0,17.3,4.0,3.0,35.0,34.75272313530614,Bajo
21.0,0.0,11.0,0.0,2.0,22.0,22.13187763071323,Muy Bajo
33.0,12.0,19.4,8.0,5.0,39.0,38.967283373295935,Medio
56.0,12.0,65.1,19.0,1.0,130.0,130.11164807654433,Muy Alto
54.0,16.0,51.2,28.0,5.0,103.0,102.48036770393784,Muy Alto
44.0,8.0,65.1,11.0,2.0,130.0,130.11442069786338,Muy Alto
20.0,1.0,9.5,0.0,2.0,20.0,19.13289269263679,Muy Bajo
47.0,15.0,59.8,26.0,1.0,118.0,119.5159841072061,Muy Alto
